Year,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2020 Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019 Season,73,3069,6488,801,2234,1185,1526,786,2436,8124,3222,1952,586,337,1005,1485
2018 Season,82,3439,7384,903,2571,1294,1714,972,2832,9075,3804,2245,634,363,1102,1644
2017 Season,82,3338,7102,940,2536,1404,1830,902,2748,9020,3650,2059,627,404,1226,1533
2016 Season,82,3377,7194,870,2365,1537,1986,966,2837,9161,3803,2077,568,323,1226,1567
2015 Season,82,3093,7003,656,1943,1513,1974,941,2718,8355,3659,1858,609,395,1202,1723
2014 Season,82,3099,7158,660,2032,1462,1991,1012,2653,8320,3665,1788,641,367,1166,1882
2013 Season,82,3147,7042,702,1959,1563,2154,1009,2717,8559,3726,1838,615,459,1305,1890
2012 Season,82,3339,6983,521,1518,1505,2148,1092,2601,8704,3693,2002,762,533,1253,1682
2011 Season,66,2572,5404,435,1311,1293,1760,738,2105,6872,2843,1581,540,330,1015,1297
