Name Of The Player,POS,HEIGHT,WEIGHT,NUMBER,DOB,EXP,PRIOR TO NBA,COUNTRY
"Malik
Beasley",G,6-4,187 lbs,1/4/1900,11/26/1996,4,Florida State/United States,United States
"Jarrett
Culver",G-F,6-6,195 lbs,1/22/1900,2/20/1999,1,Texas Tech/United States,United States
"Ed
Davis",C-F,6-9,218 lbs,1/16/1900,6/5/1989,10,North Carolina/United States,United States
"Anthony
Edwards",G,6-5,225 lbs,,8/5/2001,0,Georgia/United States,United States
"Ashton
Hagans",G-F,6-3,190 lbs,,7/8/1999,0,Kentucky/United States,United States
"Juancho
Hernangomez",F,6-9,214 lbs,2/9/1900,9/28/1995,4,Estudiantes/Spain,Spain
"Jake
Layman",F,6-8,209 lbs,1/9/1900,3/7/1994,4,Maryland/United States,United States
"Jaden
McDaniels",F,6-10,185 lbs,,9/29/2000,0,Washington/United States,United States
"Jordan
McLaughlin",G,5-11,185 lbs,1/5/1900,4/9/1996,1,Southern California/United States,United States
"Jaylen
Nowell",G,6-4,201 lbs,1/3/1900,7/9/1999,1,Washington/United States,United States
"Josh
Okogie",G,6-4,213 lbs,1/19/1900,9/1/1998,2,Georgia Tech/Nigeria,Nigeria
"Naz
Reid",C-F,6-9,264 lbs,1/10/1900,8/26/1999,1,Louisiana State/United States,United States
"Ricky
Rubio",G,6-4,190 lbs,1/10/1900,10/21/1990,9,FC Barcelona/Spain,Spain
"D 'Angelo
Russell",G,6-4,193 lbs,12/30/1899,2/23/1996,5,Ohio State/United States,United States
"Karl Anthony
Towns",C-F,6-11,248 lbs,1/31/1900,11/15/1995,5,Kentucky/United States,United States
"Jarred
Vanderbilt",F,6-9,214 lbs,1/2/1900,4/3/1999,2,Kentucky/United States,United States
