Season,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2020 Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019 Season,64,2586,5865,853,2540,1223,1624,675,2193,7248,2868,1525,555,362,981,1370
2018 Season,82,3413,7483,827,2357,1570,1995,923,2750,9223,3673,2018,683,411,1074,1664
2017 Season,82,3365,7063,658,1845,1592,1980,848,2593,8980,3441,1861,689,345,1021,1495
2016 Season,82,3235,6922,601,1723,1586,1986,938,2540,8657,3478,1940,654,370,1150,1646
2015 Season,82,3095,6668,455,1347,1753,2213,821,2587,8398,3408,1916,656,375,1231,1696
2014 Season,82,2986,6820,406,1223,1638,2110,949,2406,8016,3355,1771,668,327,1231,1571
2013 Season,82,3189,7175,600,1757,1790,2301,1024,2644,8768,3668,1963,718,297,1142,1504
2012 Season,82,2943,6702,450,1475,1515,2042,973,2473,7851,3446,1836,700,387,1214,1509
2011 Season,66,2355,5434,473,1423,1281,1662,797,2089,6464,2886,1290,436,293,1001,1212
