NAME,POS,HEIGHT,WEIGHT,NUMBER,DOB,EXP,PRIOR TO NBA,COUNTRY
"Tyler
Bey",F,6-7,215 lbs,,2/10/1998,0,Colorado/United States,United States
"Jalen
Brunson",G,6-1,190 lbs,13,8/31/1996,2,Villanova/United States,United States
"Trey
Burke",G,6-0,185 lbs,32,11/12/1992,7,Michigan/United States,United States
"Willie
Cauley Stein",C,7-0,240 lbs,33,8/18/1993,5,Kentucky/United States,United States
"Luka
Doncic",F-G,6-7,230 lbs,77,2/28/1999,2,Real Madrid/Slovenia,Slovenia
"Dorian
Finney-Smith",F,6-7,220 lbs,10,5/4/1993,4,Florida/United States,United States
"Freddie
Gillespie",F,6-9,245 lbs,,6/14/1997,0,Baylor/United States,United States
"Josh
Green",G,6-5,200 lbs,,11/16/2000,0,Arizona/Australia,Australia
"Tim
Hardaway Jr.",G-F,6-5,205 lbs,11,3/16/1992,7,Michigan/United States,United States
"Nate
Hinton",G-F,6-5,210 lbs,,6/8/1999,0,Houston/United States,United States
"Wes
Iwundu",F,6-6,195 lbs,25,12/20/1994,3,Kansas State/United States,United States
"James
Johnson",F,6-7,240 lbs,16,2/20/1987,11,Wake Forest/United States,United States
"Maxi
Kleber",F,6-10,240 lbs,42,1/29/1992,3,Bayern Munich/Germany,Germany
"Courtney
Lee",G,6-5,215 lbs,1,10/3/1985,12,Western Kentucky/United States,United States
"Boban
Marjanovic",C,7-4,290 lbs,51,8/15/1988,5,Crvena zvezda/Serbia,Serbia
"Devonte
Patterson",F,6-7,205 lbs,,11/1/1996,0,Prairie View/United States,United States
"Kristaps
Porzingis",F-C,7-3,240 lbs,6,8/2/1995,4,Cajasol Sevilla/Latvia,Latvia
"Dwight
Powell",F-C,6-10,240 lbs,7,7/20/1991,6,Stanford/Canada,Canada
"Josh
Richardson",G,6-5,200 lbs,0,9/15/1993,5,Tennessee/United States,United States
"Tyrell
Terry",G,6-3,160 lbs,,9/28/2000,0,Stanford/United States,United States
