Name Of The Player,POS,HEIGHT,WEIGHT,NUMBER,DOB,EXP,PRIOR TO NBA,COUNTRY
"Kent
Bazemore",G-F,6-4,195 lbs,26,7/1/1989,8,Old Dominion/United States,United States
"Marquese
Chriss",F,6-9,240 lbs,32,7/2/1997,4,Washington/United States,United States
"Stephen
Curry",G,6-3,185 lbs,30,3/14/1988,11,Davidson/United States,United States
"Draymond
Green",F,6-6,230 lbs,23,3/4/1990,8,Michigan State/United States,United States
"Damion
Lee",G-F,6-5,210 lbs,1,10/21/1992,3,Louisville/United States,United States
"Kevon
Looney",F,6-9,222 lbs,5,2/6/1996,5,UCLA/United States,United States
"Nico
Mannion",G,6-2,190 lbs,2,3/14/2001,0,Arizona/Italy,Italy
"Mychal
Mulder",G,6-3,184 lbs,15,6/12/1994,1,Kentucky/Canada,Canada
"Kelly
Oubre Jr.",F-G,6-7,203 lbs,12,12/9/1995,5,Kansas/United States,United States
"Eric
Paschall",F,6-6,255 lbs,7,11/4/1996,1,Villanova/United States,United States
"Jordan
Poole",G,6-4,194 lbs,3,6/19/1999,1,Michigan/United States,United States
"Alen
Smailagic",F,6-10,215 lbs,6,8/18/2000,1,Beko/Serbia,Serbia
"Klay
Thompson",G,6-6,215 lbs,11,2/8/1990,8,Washington State/United States,United States
"Brad
Wanamaker",G,6-3,210 lbs,10,7/25/1989,2,Pittsburgh/United States,United States
"Andrew
Wiggins",F,6-7,197 lbs,22,2/23/1995,6,Kansas/Canada,Canada
"James
Wiseman",C,7-0,240 lbs,33,3/31/2001,0,Memphis/United States,United States
