PLAYER,G,GS,MPG,FG%,3P%,FT%,OFF,DEF,PPG,RPG,APG,SPG,BPG,TO,PF
"Tyler
Bey",3,0,11.0,25.0,0.0,100.0,0.3,1.3,2.7,1.7,0,0.3,0.7,0.7,0.7
"Jalen
Brunson",3,0,15.3,34.8,42.9,77.8,0.7,2,8.7,2.7,2,0.7,0,1,0.3
"Trey
Burke",3,0,16.7,45.5,30.0,100.0,0.7,0.3,8.7,1,3.3,0.3,0,1,1.3
"Willie
Cauley Stein",3,0,7.3,60.0,50.0,0.0,0.3,2.7,4.7,3,0,0.3,0,0.7,1
"Luka
Doncic",3,3,24.3,39.2,31.6,73.7,1,4,20,5,5,0,0,2.7,2.3
"Dorian
Finney-Smith",3,3,23.3,47.1,50.0,0.0,2.7,4.3,7.3,7,1.3,0.3,0.7,0.7,2
"Freddie
Gillespie",1,0,6.0,50.0,0.0,0.0,0,1,2,1,0,0,0,1,1
"Josh
Green",3,0,18.0,36.8,50.0,0.0,0.3,1,5.7,1.3,2,0.3,0,0.7,1.7
"Tim
Hardaway Jr.",3,3,22.7,43.3,44.4,87.5,0,3,13.7,3,2,0.3,0.3,0.3,0.3
"Nate
Hinton",3,0,8.3,37.5,33.3,100.0,1,2.3,3.3,3.3,1.3,0.3,0,0.3,0
"Wes
Iwundu",2,0,7.5,16.7,0.0,0.0,0,1,1,1,1.5,0.5,0,0,0.5
"James
Johnson",3,0,11.0,37.5,40.0,0.0,0.7,2.3,2.7,3,2,0,0.7,1,1.7
"Maxi
Kleber",3,0,17.3,62.5,66.7,100.0,1,3,12,4,0.3,0,1.3,0,1.7
"Courtney
Lee",1,0,6.0,100.0,100.0,0.0,0,0,3,0,0,0,0,0,0
"Boban
Marjanovic",3,0,8.0,57.1,0.0,100.0,0,3.3,5.7,3.3,0.3,0,0,1.3,1.3
"Kristaps
Porzingis",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
"Dwight
Powell",3,3,19.7,35.0,16.7,60.0,0.7,4,6,4.7,1.7,0.3,0.3,0.3,2.7
"Josh
Richardson",3,3,24.3,62.5,73.3,80.0,0.3,3.3,15,3.7,2,0.3,0,0.3,2.3
"Tyrell
Terry",3,0,10.0,25.0,25.0,100.0,0,0.7,3,0.7,1,0.3,0,0.7,0.7
