Name Of The Player,G,GS,MPG,FG%,3P%,FT%,OFF,DEF,PPG,RPG,APG,SPG,BPG,TO,PF
"Kent
Bazemore",3,0,16.7,44.4,22.2,71.4,0.3,4.3,7.7,4.7,0.7,0.7,0.7,2.7,1
"Marquese
Chriss",3,0,17.7,46.2,33.3,50,1.7,6.3,9.7,8,1.7,0.3,0.3,1.3,2.3
"Stephen
Curry",3,3,26,42.6,39.4,90,0,3.7,22.7,3.7,3.3,2.3,0.3,2.7,1
"Draymond
Green",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
"Damion
Lee",3,0,13.7,54.5,42.9,77.8,0.3,2,7.3,2.3,1,0.7,0,0,0.7
"Kevon
Looney",3,3,20.3,41.7,0.0,42.9,0.7,5.3,4.3,6,2.7,1.3,0,0.7,4
"Nico
Mannion",3,0,8.7,18.2,0.0,0,0.3,0.7,1.3,1,2.7,0.7,0,0.3,0.3
"Mychal
Mulder",3,0,8,44.4,66.7,50,0,1,4.3,1,0,0,0,0,0.3
"Kelly
Oubre Jr.",3,3,22.7,48.4,40.0,66.7,1.3,3,14.7,4.3,1.3,0,1.3,0,2.3
"Eric
Paschall",2,2,19.5,45.5,33.3,100,0,4.5,6.5,4.5,2.5,1,0,0.5,1
"Jordan
Poole",3,0,16.7,52.9,50.0,100,0.3,0.7,8.7,1,1.7,0,0,1,2.7
"Alen
Smailagic",1,0,11,33.3,0.0,0,1,2,4,3,0,1,1,0,2
"Klay
Thompson",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
"Brad
Wanamaker",3,0,18,50,42.9,83.3,0.3,3.7,9,4,2,0.7,1,1.7,3
"Andrew
Wiggins",3,3,25.3,40,33.3,62.5,0.7,1,13,1.7,2.7,1,2,3,4
"James
Wiseman",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
