Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Dallas Mavericks,3,127,293,59,133,54,66,29,116,367,145,77,13,12,37,62
2,New Orleans Pelicans,2,82,171,24,71,53,75,30,72,241,102,45,15,9,25,38
3,Denver Nuggets,3,130,274,44,115,56,75,40,116,360,156,89,28,20,53,76
4,Memphis Grizzlies,4,166,368,60,171,82,115,39,162,474,201,113,43,27,73,99
5,Utah Jazz,3,118,248,53,132,66,83,23,116,355,139,77,20,8,47,63
6,Brooklyn Nets,2,76,162,30,65,50,72,13,81,232,94,49,18,16,36,39
7,Orlando Magic,4,171,388,52,155,64,86,45,159,458,204,98,35,22,59,85
8,Houston Rockets,4,162,370,68,187,64,83,35,152,456,187,89,41,27,53,97
9,Atlanta Hawks,4,144,361,51,157,112,140,47,168,451,215,96,29,13,71,96
10,Minnesota Timberwolves,3,115,271,38,111,70,93,29,124,338,153,64,28,22,63,82
11,Charlotte Hornets,4,157,353,58,147,77,105,37,150,449,187,110,29,17,79,88
12,Los Angeles Lakers,4,156,328,51,102,81,115,27,144,444,171,88,36,11,63,80
13,Golden State Warriors,3,115,268,44,126,59,82,24,122,333,146,73,30,23,51,81
14,Sacramento Kings,4,150,367,52,171,90,125,38,156,442,194,96,37,25,71,86
15,Philadelphia 76ers,2,80,160,18,60,43,63,19,71,221,90,46,15,10,43,55
16,Chicago Bulls,4,164,369,47,148,62,91,50,180,437,230,99,26,21,74,74
17,Toronto Raptors,3,112,266,55,155,49,70,19,101,328,120,77,42,13,57,89
18,Milwaukee Bucks,3,119,270,31,111,58,73,28,111,327,139,74,16,18,46,80
19,Oklahoma City Thunder,3,117,275,44,106,49,64,28,127,327,155,64,24,12,54,52
20,Portland Trail Blazers,4,153,369,48,131,70,88,40,132,424,172,78,35,20,63,96
21,Indiana Pacers,3,114,276,43,126,46,69,34,82,317,116,71,32,8,51,89
22,Miami Heat,2,74,155,32,83,29,38,11,75,209,86,56,12,6,40,52
23,Phoenix Suns,4,153,352,49,143,62,79,33,143,417,176,90,37,10,71,113
24,San Antonio Spurs,3,110,273,32,102,60,84,31,98,312,129,63,31,13,43,61
25,New York Knicks,4,148,326,36,119,68,99,39,142,400,181,97,42,23,74,92
26,Cleveland Cavaliers,4,139,309,46,118,75,105,39,140,399,179,87,32,17,96,101
27,Washington Wizards,3,111,264,36,115,41,60,25,109,299,134,68,36,9,58,62
28,LA Clippers,3,104,244,36,101,48,64,23,103,292,126,65,16,16,56,73
29,Boston Celtics,2,68,175,19,84,33,43,23,67,188,90,37,20,12,42,49
30,Detroit Pistons,4,132,322,49,150,63,88,29,147,376,176,78,47,10,86,85
