Rank,Nmae,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Los Angeles Clippers,82,3208,6761,693,1966,1741,2384,858,2668,8850,3526,2016,703,397,1136,1767
2,Houston Rockets,82,3118,6603,779,2179,1814,2549,920,2797,8829,3717,1755,621,461,1323,1676
3,Minnesota Timberwolves,82,3189,7175,600,1757,1790,2301,1024,2644,8768,3668,1963,718,297,1142,1504
4,Portland Trail Blazers,82,3207,7134,770,2071,1569,1926,1022,2786,8753,3808,1904,454,387,1125,1576
5,Oklahoma City Thunder,82,3194,6782,664,1839,1653,2052,887,2781,8705,3668,1794,678,501,1256,1858
6,San Antonio Spurs,82,3326,6844,698,1757,1289,1642,762,2786,8639,3548,2064,604,420,1180,1495
7,Phoenix Suns,82,3172,6845,765,2055,1520,2004,928,2601,8629,3529,1563,688,374,1258,1798
8,Dallas Mavericks,82,3249,6858,721,1877,1378,1733,840,2514,8597,3354,1935,704,356,1110,1636
9,Denver Nuggets,82,3147,7042,702,1959,1563,2154,1009,2717,8559,3726,1838,615,459,1305,1890
10,Golden State Warriors,82,3236,7005,774,2037,1303,1731,896,2819,8549,3715,1912,642,407,1247,1784
11,Los Angeles Lakers,82,3139,6980,774,2032,1390,1835,745,2620,8442,3365,2006,611,446,1239,1627
12,Miami Heat,82,3142,6272,665,1829,1431,1884,627,2397,8380,3024,1847,732,367,1212,1596
13,Toronto Raptors,82,2992,6718,713,1917,1608,2055,935,2552,8305,3487,1737,577,343,1159,1882
14,Atlanta Hawks,82,3061,6688,768,2116,1392,1782,713,2565,8282,3278,2041,680,326,1251,1577
15,Detroit Pistons,82,3182,7124,507,1580,1415,2111,1196,2525,8286,3721,1714,687,395,1193,1666
16,Washington Wizards,82,3177,6920,647,1704.0,1253,1715,886,2573,8254,3459,1909,668,377,1204,1675
17,Sacramento Kings,82,3026,6766,491,1475.0,1698,2237,990,2656,8241,3646,1547,587,318,1249,1849
18,New Orleans Pelicans,82,3101,6761,486,1303.0,1489,1936,933,2486,8177,3419,1745,647,523,1129,1857
19,Philadelphia 76ers,82,3108,7150,577,1847.0,1362,1918,949,2556,8155,3505,1791,765,330,1384,1844
20,New York Knicks,82,3027,6739,759,2038,1271,1670,870,2437,8084,3307,1641,631,367,1063,1815
21,Brooklyn Nets,82,2931,6391,709,1922,1508,2002,721,2407,8079,3128,1714,705,311,1191,1777
22,Cleveland Cavaliers,82,3036,6955,584,1640,1398,1861,989,2629,8054,3618,1738,579,304,1163,1640
23,Charlotte Bobcats,82,2976,6730,516,1471,1474,2000,776,2724,7942,3500,1778,499,421,1010,1493
24,Indiana Pacers,82,2949,6573,550,1542,1485,1907,834,2831,7933,3665,1651,550,446,1237,1675
25,Orlando Magic,82,3022,6784,563,1596,1307,1714,794,2654,7914,3448,1726,630,350,1222,1678
26,Boston Celtics,82,2996,6883,575,1729,1325,1706,980,2505,7892,3485,1726,584,343,1261,1743
27,Memphis Grizzlies,82,3122,6723,405,1147,1235,1666,950,2526,7884,3476,1792,631,375,1124,1568
28,Milwaukee Bucks,82,2952,6737,548,1553,1377,1843,971,2399,7829,3370,1760,541,403,1238,1713
29,Utah Jazz,82,2951,6652,543,1577,1346,1803,904,2477,7791,3381,1664,570,366,1200,1699
30,Chicago Bulls,82,2843,6577,508,1459,1486,1908,937,2683,7680,3620,1860,594,424,1223,1565
