Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Golden State Warriors,82,3509,6979,926,2369,1360,1668,691,2877,9304,3568,2402,656,612,1265,1607
2,Houston Rockets,82,3174,6906,1256,3470,1609,2061,739,2825,9213,3564,1767,699,392,1135,1597
3,New Orleans Pelicans,82,3500,7241,837,2312,1324,1716,712,2923,9161,3635,2195,657,485,1223,1570
4,Toronto Raptors,82,3383,7169,968,2705,1422,1790,800,2807,9156,3607,1995,626,500,1095,1783
5,Cleveland Cavaliers,82,3311,6950,981,2636,1488,1909,694,2761,9091,3455,1916,582,312,1126,1524
6,Denver Nuggets,82,3338,7102,940,2536,1404,1830,902,2748,9020,3650,2059,627,404,1226,1533
7,Philadelphia 76ers,82,3349,7098,901,2445,1405,1868,893,2996,9004,3889,2221,682,420,1353,1811
8,Minnesota Timberwolves,82,3365,7063,658,1845,1592,1980,848,2593,8980,3441,1861,689,345,1021,1495
9,LA Clippers,82,3302,7004,777,2196,1556,2095,832,2766,8937,3598,1832,628,372,1204,1638
10,Charlotte Hornets,82,3197,7106,824,2233,1656,2216,827,2901,8874,3728,1770,559,373,1041,1409
11,Los Angeles Lakers,82,3338,7248,822,2384,1364,1910,876,2927,8862,3803,1949,633,388,1295,1736
12,Oklahoma City Thunder,82,3271,7221,881,2491,1421,1985,1024,2671,8844,3695,1750,743,412,1147,1653
13,Brooklyn Nets,82,3136,7114,1041,2924,1428,1850,792,2852,8741,3644,1941,512,390,1245,1688
14,Washington Wizards,82,3275,7018,814,2173,1378,1786,823,2713,8742,3536,2065,645,353,1196,1746
15,Milwaukee Bucks,82,3257,6807,718,2024,1499,1915,688,2579,8731,3267,1905,722,443,1135,1752
16,Portland Trail Blazers,82,3222,7132,845,2308,1372,1715,835,2893,8661,3728,1599,573,423,1109,1599
17,Indiana Pacers,82,3345,7083,741,2010,1225,1573,788,2684,8656,3472,1819,721,340,1088,1544
18,New York Knicks,82,3334,7193,673,1914,1225,1557,859,2752,8566,3611,1912,552,421,1208,1682
19,Utah Jazz,82,3139,6797,887,2425,1375,1766,740,2807,8540,3547,1839,708,420,1205,1608
20,Boston Celtics,82,3141,6975,939,2492,1308,1697,767,2878,8529,3645,1842,604,373,1148,1618
21,Phoenix Suns,82,3153,7141,763,2286,1453,1962,842,2776,8522,3618,1743,569,370,1289,1807
22,Detroit Pistons,82,3208,7129,886,2373,1207,1621,830,2756,8509,3586,1868,628,317,1102,1508
23,Orlando Magic,82,3182,7042,844,2405,1271,1678,722,2692,8479,3414,1921,622,400,1192,1579
24,Atlanta Hawks,82,3130,7015,917,2544,1298,1654,743,2693,8475,3436,1946,638,348,1274,1606
25,Miami Heat,82,3184,6997,903,2506,1209,1601,763,2801,8480,3564,1862,620,437,1178,1648
26,Chicago Bulls,82,3170,7285,906,2549,1194,1574,790,2872,8440,3662,1923,626,289,1147,1571
27,San Antonio Spurs,82,3202,6999,696,1977,1324,1715,849,2777,8424,3626,1868,628,460,1078,1408
28,Dallas Mavericks,82,3128,7042,967,2688,1167,1530,666,2717,8390,3383,1858,578,310,1007,1578
29,Memphis Grizzlies,82,3013,6788,758,2152,1361,1732,779,2544,8145,3323,1767,613,396,1227,1900
30,Sacramento Kings,82,3179,7063,738,1967,1008,1371,776,2578,8104,3354,1768,643,340,1125,1639
