Rank,Team,G,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,PTS,REB,AST,STL,BLK,TO,PF
1,Milwaukee Bucks,82,3555,7471,1105,3134,1471,1904,762,3316,9686,4078,2136,615,486,1137,1608
2,Golden State Warriors,82,3612,7361,1087,2824,1339,1672,797,2990,9650,3787,2413,625,525,1169,1757
3,New Orleans Pelicans,82,3581,7563,842,2449,1462,1921,909,2969,9466,3878,2216,610,441,1215,1732
4,Philadelphia 76ers,82,3407,7233,889,2474,1742,2258,892,3025,9445,3917,2207,606,432,1223,1745
5,LA Clippers,82,3384,7178,821,2118,1853,2340,796,2936,9442,3732,1970,561,385,1193,1913
6,Portland Trail Blazers,82,3470,7427,904,2520,1558,1914,967,2968,9402,3935,1887,546,413,1135,1669
7,Oklahoma City Thunder,82,3497,7706,932,2677,1461,2049,1031,2911,9387,3942,1917,766,425,1145,1839
8,Toronto Raptors,82,3460,7305,1015,2771,1449,1803,786,2920,9384,3706,2085,680,437,1150,1724
9,Sacramento Kings,82,3541,7637,927,2455,1354,1865,906,2819,9363,3725,2083,679,363,1095,1751
10,Washington Wizards,82,3456,7387,930,2731,1508,1963,794,2679,9350,3473,2154,683,379,1154,1701
11,Houston Rockets,82,3218,7163,1323,3721,1582,2001,836,2613,9341,3449,1741,700,405,1094,1803
12,Atlanta Hawks,82,3392,7524,1067,3034,1443,1918,955,2825,9294,3780,2118,675,419,1397,1932
13,Minnesota Timberwolves,82,3413,7483,827,2357,1570,1995,923,2750,9223,3673,2018,683,411,1074,1664
14,Boston Celtics,82,3451,7423,1032,2829,1282,1598,804,2849,9216,3653,2155,706,435,1052,1669
15,Brooklyn Nets,82,3301,7358,1047,2965,1555,2088,900,2919,9204,3819,1954,539,339,1236,1763
16,Los Angeles Lakers,82,3491,7425,847,2541,1336,1910,835,2985,9165,3820,2096,618,440,1284,1701
17,Utah Jazz,82,3314,7082,993,2789,1540,2092,820,2981,9161,3801,2133,663,483,1240,1728
18,San Antonio Spurs,82,3468,7248,812,2071,1408,1720,757,2910,9156,3667,2013,501,386,992,1487
19,Denver Nuggets,82,3439,7384,903,2571,1294,1714,972,2832,9075,3804,2245,634,363,1102,1644
20,Charlotte Hornets,82,3297,7362,977,2783,1510,1895,814,2778,9081,3592,1905,591,405,1001,1550
21,Dallas Mavericks,82,3182,7122,1022,3002,1541,2076,832,2884,8927,3716,1918,533,351,1167,1650
22,Indiana Pacers,82,3390,7135,779,2081,1298,1727,762,2766,8857,3528,2128,713,404,1122,1594
23,Phoenix Suns,82,3289,7164,790,2400,1447,1858,748,2563,8815,3311,1957,735,418,1279,1932
24,Orlando Magic,82,3316,7307,937,2633,1231,1575,822,2902,8800,3724,2095,543,445,1082,1526
25,Detroit Pistons,82,3185,7238,993,2854,1415,1893,936,2752,8778,3688,1845,569,331,1135,1811
26,Miami Heat,82,3251,7218,928,2658,1238,1782,921,2879,8668,3800,1991,627,448,1208,1712
27,Chicago Bulls,82,3266,7205,745,2123,1328,1695,718,2799,8605,3517,1796,603,351,1159,1663
28,New York Knicks,82,3134,7241,823,2421,1484,1956,857,2811,8575,3668,1646,557,422,1151,1713
29,Cleveland Cavaliers,82,3189,7184,847,2388,1342,1694,879,2619,8567,3498,1698,534,195,1106,1642
30,Memphis Grizzlies,82,3113,6924,811,2368,1453,1882,723,2703,8490,3426,1963,684,448,1147,1801
