Season,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2020 Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019 Season,72,2936,6512,1126,3261,1484,1876,704,2484,8482,3188,1557,627,371,1057,1566
2018 Season,82,3218,7163,1323,3721,1582,2001,836,2613,9341,3449,1741,700,405,1094,1803
2017 Season,82,3174,6906,1256,3470,1609,2061,739,2825,9213,3564,1767,699,392,1135,1597
2016 Season,82,3305,7152,1181,3306,1667,2177,892,2746,9458,3638,2070,670,352,1240,1634
2015 Season,82,3094,6847,878,2533,1671,2407,930,2601,8737,3531,1821,821,430,1307,1790
2014 Season,82,3032,6832,933,2680,1525,2133,958,2624,8522,3582,1820,777,407,1366,1803
2013 Season,82,3118,6603,779,2179,1814,2549,920,2797,8829,3717,1755,621,461,1323,1676
2012 Season,82,3124,6782,867,2369,1573,2087,909,2652,8688,3561,1902,679,359,1348,1662
2011 Season,66,2489,5543,478,1330,1018,1301,769,2014,6474,2783,1404,496,319,955,1347
